model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
Crossformer,,electricity,321,96,2021,0.22810707986354828,0.31704628467559814,cf_electricity_pl96_s2021
Crossformer,,electricity,321,96,2022,0.22851726412773132,0.3186340630054474,cf_electricity_pl96_s2022
Crossformer,,electricity,321,96,2023,0.22217130661010742,0.3125729560852051,cf_electricity_pl96_s2023
Crossformer,,electricity,321,96,2024,0.22597594559192657,0.3165637254714966,cf_electricity_pl96_s2024
Crossformer,,electricity,321,96,2025,0.22880855202674866,0.316855251789093,cf_electricity_pl96_s2025
Crossformer,,electricity,321,192,2021,0.26420173048973083,0.3382992744445801,cf_electricity_pl192_s2021
Crossformer,,electricity,321,192,2022,0.26713111996650696,0.3403852880001068,cf_electricity_pl192_s2022
Crossformer,,electricity,321,192,2023,0.2635067105293274,0.33744293451309204,cf_electricity_pl192_s2023
Crossformer,,electricity,321,192,2024,0.2817184329032898,0.3522261679172516,cf_electricity_pl192_s2024
Crossformer,,electricity,321,192,2025,0.2756633460521698,0.3481478989124298,cf_electricity_pl192_s2025
Crossformer,,electricity,321,336,2021,0.3830563724040985,0.42070892453193665,cf_electricity_pl336_s2021
Crossformer,,electricity,321,336,2022,0.40162813663482666,0.4337772727012634,cf_electricity_pl336_s2022
Crossformer,,electricity,321,336,2023,0.368976891040802,0.40467292070388794,cf_electricity_pl336_s2023
Crossformer,,electricity,321,336,2024,0.3603183627128601,0.39759817719459534,cf_electricity_pl336_s2024
Crossformer,,electricity,321,336,2025,0.350229948759079,0.39064881205558777,cf_electricity_pl336_s2025
Crossformer,,electricity,321,720,2021,OOM,OOM,cf_electricity_pl720_s2021
Crossformer,,electricity,321,720,2022,OOM,OOM,cf_electricity_pl720_s2022
Crossformer,,electricity,321,720,2023,OOM,OOM,cf_electricity_pl720_s2023
Crossformer,,electricity,321,720,2024,OOM,OOM,cf_electricity_pl720_s2024
Crossformer,,electricity,321,720,2025,OOM,OOM,cf_electricity_pl720_s2025
Crossformer,,solar_AL,137,96,2021,0.18742187321186066,0.23309560120105743,cf_solar_AL_pl96_s2021
Crossformer,,solar_AL,137,96,2022,0.19559124112129211,0.26262757182121277,cf_solar_AL_pl96_s2022
Crossformer,,solar_AL,137,96,2023,0.175231471657753,0.2176554650068283,cf_solar_AL_pl96_s2023
Crossformer,,solar_AL,137,96,2024,0.17848198115825653,0.23345337808132172,cf_solar_AL_pl96_s2024
Crossformer,,solar_AL,137,96,2025,0.18028055131435394,0.22113491594791412,cf_solar_AL_pl96_s2025
Crossformer,,solar_AL,137,192,2021,0.19475291669368744,0.2439815253019333,cf_solar_AL_pl192_s2021
Crossformer,,solar_AL,137,192,2022,0.19793078303337097,0.24721214175224304,cf_solar_AL_pl192_s2022
Crossformer,,solar_AL,137,192,2023,0.20315080881118774,0.24714745581150055,cf_solar_AL_pl192_s2023
Crossformer,,solar_AL,137,192,2024,0.1929340660572052,0.2434144765138626,cf_solar_AL_pl192_s2024
Crossformer,,solar_AL,137,192,2025,0.19429196417331696,0.23368968069553375,cf_solar_AL_pl192_s2025
Crossformer,,solar_AL,137,336,2021,0.21296043694019318,0.25554490089416504,cf_solar_AL_pl336_s2021
