model,variant,dataset,N,pred_len,FLOPs_G,Params_M,train_vram_GB,infer_vram_GB,train_ms_batch,infer_ms_batch
Crossformer,,traffic,862,96,3.6583,1.6192,7.8504,0.5888,185.3630,58.6260
Crossformer,,traffic,862,192,6.3364,2.0810,13.5354,0.9974,300.9696,96.9100
Crossformer,,traffic,862,336,10.5652,2.7737,22.3766,1.6087,489.0558,163.3255
Crossformer,,traffic,862,720,23.0851,4.6210,,,,
Crossformer,,electricity,321,96,2.8091,1.4214,5.9726,0.4290,141.0921,43.2803
Crossformer,,electricity,321,192,4.9574,1.7911,10.4779,0.7217,233.3183,72.3628
Crossformer,,electricity,321,336,8.4956,2.3456,17.6651,1.2561,379.2384,118.8532
Crossformer,,electricity,321,720,19.7818,3.8242,,,,
Crossformer,,solar_AL,137,96,1.2075,1.0446,2.6412,0.2051,93.4814,22.8284
Crossformer,,solar_AL,137,192,2.1304,1.2258,4.5888,0.3278,115.3578,35.6371
Crossformer,,solar_AL,137,336,3.6495,1.4977,7.6209,0.5535,176.2034,55.2404
Crossformer,,solar_AL,137,720,8.4904,2.2227,17.1530,1.8493,367.9151,115.6009
DLinear,,traffic,862,96,0.0160,0.0186,0.1165,0.0967,17.0827,0.8559
DLinear,,traffic,862,192,0.0319,0.0372,0.1758,0.1362,22.0423,0.8304
DLinear,,traffic,862,336,0.0557,0.0652,0.2741,0.1955,41.2392,0.9113
DLinear,,traffic,862,720,0.1192,0.1397,0.5298,0.3535,40.7345,1.3351
DLinear,,electricity,321,96,0.0059,0.0186,0.0560,0.0467,8.1973,0.7833
DLinear,,electricity,321,192,0.0119,0.0372,0.0764,0.0616,10.3986,0.9228
DLinear,,electricity,321,336,0.0207,0.0652,0.1165,0.0855,13.5925,0.9108
DLinear,,electricity,321,720,0.0444,0.1397,0.2083,0.1431,13.9095,1.1569
DLinear,,solar_AL,137,96,0.0025,0.0186,0.0325,0.0309,5.1150,0.7728
DLinear,,solar_AL,137,192,0.0051,0.0372,0.0428,0.0364,6.0257,0.7426
DLinear,,solar_AL,137,336,0.0089,0.0652,0.0579,0.0458,7.4149,0.8456
DLinear,,solar_AL,137,720,0.0190,0.1397,0.0996,0.0719,7.8337,0.9851
Gateformer,,traffic,862,96,87.3755,17.1859,6.8360,1.2181,197.2115,60.8959
Gateformer,,traffic,862,192,87.4179,17.2351,6.8468,1.2265,198.0682,60.7417
Gateformer,,traffic,862,336,87.4814,17.3090,6.8641,1.2369,198.5090,60.8327
Gateformer,,traffic,862,720,87.6509,17.5060,6.9060,1.2697,201.1833,60.8518
Gateformer,,electricity,321,96,23.7061,14.0299,2.2411,0.5319,65.1571,17.9652
Gateformer,,electricity,321,192,23.7219,14.0792,2.2479,0.5374,65.0476,17.9626
Gateformer,,electricity,321,336,23.7456,14.1530,2.2546,0.5414,65.6913,17.9655
Gateformer,,electricity,321,720,23.8087,14.3500,2.2716,0.5555,66.2398,18.0447
