model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
iFlashformer,,ashrae,2362,96,2021,1135.453125,0.7035306096076965,ind_iFlash_ashrae_pl96_s2021
iFlashformer,,ashrae,2362,96,2022,1119.3253173828125,0.6985136270523071,ind_iFlash_ashrae_pl96_s2022
iFlashformer,,ashrae,2362,96,2023,1118.9320068359375,0.6960276961326599,ind_iFlash_ashrae_pl96_s2023
iFlashformer,,ashrae,2362,96,2024,1210.2437744140625,0.7336731553077698,ind_iFlash_ashrae_pl96_s2024
iFlashformer,,ashrae,2362,96,2025,1114.66796875,0.6958955526351929,ind_iFlash_ashrae_pl96_s2025
iFlashformer,,ashrae,2362,192,2021,1903.5924072265625,0.8478186130523682,ind_iFlash_ashrae_pl192_s2021
iFlashformer,,ashrae,2362,192,2022,1839.8682861328125,0.8363661766052246,ind_iFlash_ashrae_pl192_s2022
iFlashformer,,ashrae,2362,192,2023,1938.2938232421875,0.8450571298599243,ind_iFlash_ashrae_pl192_s2023
iFlashformer,,ashrae,2362,192,2024,1856.9200439453125,0.8394966721534729,ind_iFlash_ashrae_pl192_s2024
iFlashformer,,ashrae,2362,192,2025,1834.0469970703125,0.839381992816925,ind_iFlash_ashrae_pl192_s2025
iFlashformer,,ashrae,2362,336,2021,1874.3951416015625,0.8779892325401306,ind_iFlash_ashrae_pl336_s2021
iFlashformer,,ashrae,2362,336,2022,1877.2305908203125,0.8826731443405151,ind_iFlash_ashrae_pl336_s2022
iFlashformer,,ashrae,2362,336,2023,1882.06982421875,0.8901294469833374,ind_iFlash_ashrae_pl336_s2023
iFlashformer,,ashrae,2362,336,2024,1879.6990966796875,0.8892117738723755,ind_iFlash_ashrae_pl336_s2024
iFlashformer,,ashrae,2362,336,2025,1876.6375732421875,0.8782269954681396,ind_iFlash_ashrae_pl336_s2025
iFlashformer,,ashrae,2362,720,2021,1345.599609375,0.9451162219047546,ind_iFlash_ashrae_pl720_s2021
iFlashformer,,ashrae,2362,720,2022,1352.1824951171875,0.9572532176971436,ind_iFlash_ashrae_pl720_s2022
iFlashformer,,ashrae,2362,720,2023,1344.3883056640625,0.9396271109580994,ind_iFlash_ashrae_pl720_s2023
iFlashformer,,ashrae,2362,720,2024,1348.9952392578125,0.9514793157577515,ind_iFlash_ashrae_pl720_s2024
