model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
anti_clustering,,ashrae,2362,96,2021,1137.0758056640625,0.7125396728515625,gind_anti_clustering_ashrae_pl96_s2021
anti_clustering,,ashrae,2362,96,2022,1117.4940185546875,0.7018107771873474,gind_anti_clustering_ashrae_pl96_s2022
anti_clustering,,ashrae,2362,96,2023,1107.8262939453125,0.6978672742843628,gind_anti_clustering_ashrae_pl96_s2023
anti_clustering,,ashrae,2362,96,2024,1057.0914306640625,0.6855669021606445,gind_anti_clustering_ashrae_pl96_s2024
anti_clustering,,ashrae,2362,96,2025,1081.415771484375,0.6885436177253723,gind_anti_clustering_ashrae_pl96_s2025
anti_clustering,,ashrae,2362,192,2021,2055.56689453125,0.8804988265037537,gind_anti_clustering_ashrae_pl192_s2021
anti_clustering,,ashrae,2362,192,2022,1877.109619140625,0.8384900689125061,gind_anti_clustering_ashrae_pl192_s2022
anti_clustering,,ashrae,2362,192,2023,1918.7418212890625,0.8396263718605042,gind_anti_clustering_ashrae_pl192_s2023
anti_clustering,,ashrae,2362,192,2024,1941.3856201171875,0.8460633754730225,gind_anti_clustering_ashrae_pl192_s2024
anti_clustering,,ashrae,2362,192,2025,1905.607421875,0.8430786728858948,gind_anti_clustering_ashrae_pl192_s2025
anti_clustering,,ashrae,2362,336,2021,1878.3433837890625,0.8782574534416199,gind_anti_clustering_ashrae_pl336_s2021
anti_clustering,,ashrae,2362,336,2022,1877.65234375,0.8776296973228455,gind_anti_clustering_ashrae_pl336_s2022
anti_clustering,,ashrae,2362,336,2023,1875.84228515625,0.8738538026809692,gind_anti_clustering_ashrae_pl336_s2023
anti_clustering,,ashrae,2362,336,2024,1875.86181640625,0.8758741617202759,gind_anti_clustering_ashrae_pl336_s2024
anti_clustering,,ashrae,2362,336,2025,1878.140380859375,0.8777453303337097,gind_anti_clustering_ashrae_pl336_s2025
anti_clustering,,ashrae,2362,720,2021,1349.494140625,0.9447689056396484,gind_anti_clustering_ashrae_pl720_s2021
anti_clustering,,ashrae,2362,720,2022,1343.5528564453125,0.9317582845687866,gind_anti_clustering_ashrae_pl720_s2022
anti_clustering,,ashrae,2362,720,2023,1344.62548828125,0.9374860525131226,gind_anti_clustering_ashrae_pl720_s2023
anti_clustering,,ashrae,2362,720,2024,1350.5406494140625,0.9440356492996216,gind_anti_clustering_ashrae_pl720_s2024
anti_clustering,,ashrae,2362,720,2025,1348.0526123046875,0.9395678043365479,gind_anti_clustering_ashrae_pl720_s2025
anti_clustering,,basf,244,96,2021,0.14459168910980225,0.08896121382713318,gind_anti_clustering_basf_pl96_s2021
anti_clustering,,basf,244,96,2022,0.14688299596309662,0.08985395729541779,gind_anti_clustering_basf_pl96_s2022
anti_clustering,,basf,244,96,2023,0.1423693299293518,0.08905106037855148,gind_anti_clustering_basf_pl96_s2023
anti_clustering,,basf,244,96,2024,0.14607632160186768,0.09006036818027496,gind_anti_clustering_basf_pl96_s2024
anti_clustering,,basf,244,96,2025,0.14921920001506805,0.09144166111946106,gind_anti_clustering_basf_pl96_s2025
anti_clustering,,basf,244,192,2021,0.17769041657447815,0.10130367428064346,gind_anti_clustering_basf_pl192_s2021
anti_clustering,,basf,244,192,2022,0.17703883349895477,0.10099689662456512,gind_anti_clustering_basf_pl192_s2022
anti_clustering,,basf,244,192,2023,0.1773737221956253,0.10109291970729828,gind_anti_clustering_basf_pl192_s2023
anti_clustering,,basf,244,192,2024,0.1776774674654007,0.10129435360431671,gind_anti_clustering_basf_pl192_s2024
anti_clustering,,basf,244,192,2025,0.17692898213863373,0.10071150958538055,gind_anti_clustering_basf_pl192_s2025
anti_clustering,,basf,244,336,2021,0.2130410075187683,0.11171816289424896,gind_anti_clustering_basf_pl336_s2021
anti_clustering,,basf,244,336,2022,0.21251964569091797,0.11152742803096771,gind_anti_clustering_basf_pl336_s2022
anti_clustering,,basf,244,336,2023,0.21299247443675995,0.11170358210802078,gind_anti_clustering_basf_pl336_s2023
anti_clustering,,basf,244,336,2024,0.21296925842761993,0.11170798540115356,gind_anti_clustering_basf_pl336_s2024
anti_clustering,,basf,244,336,2025,0.2124519944190979,0.11136370152235031,gind_anti_clustering_basf_pl336_s2025
anti_clustering,,basf,244,720,2021,0.29469171166419983,0.13158535957336426,gind_anti_clustering_basf_pl720_s2021
anti_clustering,,basf,244,720,2022,0.2955203950405121,0.13169074058532715,gind_anti_clustering_basf_pl720_s2022
anti_clustering,,basf,244,720,2023,0.2953674793243408,0.13167989253997803,gind_anti_clustering_basf_pl720_s2023
anti_clustering,,basf,244,720,2024,0.29546716809272766,0.13167884945869446,gind_anti_clustering_basf_pl720_s2024
anti_clustering,,basf,244,720,2025,0.2955464720726013,0.13170136511325836,gind_anti_clustering_basf_pl720_s2025
anti_clustering,,bdg2,2817,96,2021,10531161.0,13.574196815490723,gind_anti_clustering_bdg2_pl96_s2021
anti_clustering,,bdg2,2817,96,2022,10520505.0,13.489849090576172,gind_anti_clustering_bdg2_pl96_s2022
anti_clustering,,bdg2,2817,96,2023,10524203.0,13.490652084350586,gind_anti_clustering_bdg2_pl96_s2023
anti_clustering,,bdg2,2817,96,2024,10516582.0,13.46166706085205,gind_anti_clustering_bdg2_pl96_s2024
anti_clustering,,bdg2,2817,96,2025,10513669.0,13.439166069030762,gind_anti_clustering_bdg2_pl96_s2025
anti_clustering,,bdg2,2817,192,2021,5777070.5,13.840282440185547,gind_anti_clustering_bdg2_pl192_s2021
anti_clustering,,bdg2,2817,192,2022,5769141.0,13.783151626586914,gind_anti_clustering_bdg2_pl192_s2022
anti_clustering,,bdg2,2817,192,2023,5783268.0,13.870593070983887,gind_anti_clustering_bdg2_pl192_s2023
anti_clustering,,bdg2,2817,192,2024,5766074.5,13.757080078125,gind_anti_clustering_bdg2_pl192_s2024
anti_clustering,,bdg2,2817,192,2025,5776162.0,13.789996147155762,gind_anti_clustering_bdg2_pl192_s2025
anti_clustering,,bdg2,2817,336,2021,3742446.25,13.924301147460938,gind_anti_clustering_bdg2_pl336_s2021
anti_clustering,,bdg2,2817,336,2022,3749290.5,13.9590482711792,gind_anti_clustering_bdg2_pl336_s2022
anti_clustering,,bdg2,2817,336,2023,3750849.5,13.96129322052002,gind_anti_clustering_bdg2_pl336_s2023
anti_clustering,,bdg2,2817,336,2024,3748374.25,13.952733039855957,gind_anti_clustering_bdg2_pl336_s2024
anti_clustering,,bdg2,2817,336,2025,3750205.75,13.954368591308594,gind_anti_clustering_bdg2_pl336_s2025
anti_clustering,,bdg2,2817,720,2021,2563746.75,15.598686218261719,gind_anti_clustering_bdg2_pl720_s2021
anti_clustering,,bdg2,2817,720,2022,2564415.25,15.558246612548828,gind_anti_clustering_bdg2_pl720_s2022
anti_clustering,,bdg2,2817,720,2023,2561087.0,15.478560447692871,gind_anti_clustering_bdg2_pl720_s2023
anti_clustering,,bdg2,2817,720,2024,2558844.5,15.534956932067871,gind_anti_clustering_bdg2_pl720_s2024
anti_clustering,,bdg2,2817,720,2025,2526764.25,15.290793418884277,gind_anti_clustering_bdg2_pl720_s2025
anti_clustering,,care_wind,238,96,2021,1.5401878356933594,0.47504884004592896,gind_anti_clustering_care_wind_pl96_s2021
anti_clustering,,care_wind,238,96,2022,1.6368569135665894,0.5019686818122864,gind_anti_clustering_care_wind_pl96_s2022
anti_clustering,,care_wind,238,96,2023,1.6365805864334106,0.5023562908172607,gind_anti_clustering_care_wind_pl96_s2023
anti_clustering,,care_wind,238,96,2024,1.5204240083694458,0.4718317687511444,gind_anti_clustering_care_wind_pl96_s2024
anti_clustering,,care_wind,238,96,2025,1.591052770614624,0.49277734756469727,gind_anti_clustering_care_wind_pl96_s2025
anti_clustering,,care_wind,238,192,2021,1.8799660205841064,0.5611846446990967,gind_anti_clustering_care_wind_pl192_s2021
anti_clustering,,care_wind,238,192,2022,1.856698989868164,0.5581277012825012,gind_anti_clustering_care_wind_pl192_s2022
anti_clustering,,care_wind,238,192,2023,1.844253659248352,0.5542181134223938,gind_anti_clustering_care_wind_pl192_s2023
anti_clustering,,care_wind,238,192,2024,1.8896790742874146,0.5598562359809875,gind_anti_clustering_care_wind_pl192_s2024
anti_clustering,,care_wind,238,192,2025,1.8298802375793457,0.5522236227989197,gind_anti_clustering_care_wind_pl192_s2025
anti_clustering,,care_wind,238,336,2021,2.1052157878875732,0.6041642427444458,gind_anti_clustering_care_wind_pl336_s2021
anti_clustering,,care_wind,238,336,2022,2.053114414215088,0.5963990092277527,gind_anti_clustering_care_wind_pl336_s2022
anti_clustering,,care_wind,238,336,2023,2.0839717388153076,0.6044653654098511,gind_anti_clustering_care_wind_pl336_s2023
anti_clustering,,care_wind,238,336,2024,2.08980131149292,0.6046316623687744,gind_anti_clustering_care_wind_pl336_s2024
anti_clustering,,care_wind,238,336,2025,2.096210241317749,0.6055276989936829,gind_anti_clustering_care_wind_pl336_s2025
anti_clustering,,care_wind,238,720,2021,2.3680214881896973,0.6781894564628601,gind_anti_clustering_care_wind_pl720_s2021
anti_clustering,,care_wind,238,720,2022,2.3650269508361816,0.6820818781852722,gind_anti_clustering_care_wind_pl720_s2022
anti_clustering,,care_wind,238,720,2023,2.357739210128784,0.684469997882843,gind_anti_clustering_care_wind_pl720_s2023
anti_clustering,,care_wind,238,720,2024,2.3829498291015625,0.6801596283912659,gind_anti_clustering_care_wind_pl720_s2024
anti_clustering,,care_wind,238,720,2025,2.360182285308838,0.6735188364982605,gind_anti_clustering_care_wind_pl720_s2025
anti_clustering,,kamp,228,96,2021,0.3742184340953827,0.2498091608285904,gind_anti_clustering_kamp_pl96_s2021
anti_clustering,,kamp,228,96,2022,0.2961486577987671,0.21491433680057526,gind_anti_clustering_kamp_pl96_s2022
anti_clustering,,kamp,228,96,2023,0.33916211128234863,0.24103444814682007,gind_anti_clustering_kamp_pl96_s2023
anti_clustering,,kamp,228,96,2024,0.3546653985977173,0.23865018784999847,gind_anti_clustering_kamp_pl96_s2024
anti_clustering,,kamp,228,96,2025,0.36463043093681335,0.2606549859046936,gind_anti_clustering_kamp_pl96_s2025
anti_clustering,,kamp,228,192,2021,0.4007212519645691,0.276456743478775,gind_anti_clustering_kamp_pl192_s2021
anti_clustering,,kamp,228,192,2022,0.43974727392196655,0.29078057408332825,gind_anti_clustering_kamp_pl192_s2022
anti_clustering,,kamp,228,192,2023,0.44568249583244324,0.2998278737068176,gind_anti_clustering_kamp_pl192_s2023
anti_clustering,,kamp,228,192,2024,0.4005177915096283,0.2794790267944336,gind_anti_clustering_kamp_pl192_s2024
anti_clustering,,kamp,228,192,2025,0.46240755915641785,0.30115318298339844,gind_anti_clustering_kamp_pl192_s2025
anti_clustering,,kamp,228,336,2021,0.5658339858055115,0.3572975993156433,gind_anti_clustering_kamp_pl336_s2021
anti_clustering,,kamp,228,336,2022,0.5587978959083557,0.3561696708202362,gind_anti_clustering_kamp_pl336_s2022
anti_clustering,,kamp,228,336,2023,0.5660803914070129,0.35016414523124695,gind_anti_clustering_kamp_pl336_s2023
anti_clustering,,kamp,228,336,2024,0.5779399871826172,0.36684608459472656,gind_anti_clustering_kamp_pl336_s2024
anti_clustering,,kamp,228,336,2025,0.5644123554229736,0.35175296664237976,gind_anti_clustering_kamp_pl336_s2025
anti_clustering,,kamp,228,720,2021,0.8877546787261963,0.504772961139679,gind_anti_clustering_kamp_pl720_s2021
anti_clustering,,kamp,228,720,2022,0.9136828780174255,0.5080528855323792,gind_anti_clustering_kamp_pl720_s2022
anti_clustering,,kamp,228,720,2023,0.9536635279655457,0.5159590840339661,gind_anti_clustering_kamp_pl720_s2023
anti_clustering,,kamp,228,720,2024,0.9054589867591858,0.5197654366493225,gind_anti_clustering_kamp_pl720_s2024
