model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
VGFlash,,ashrae,2362,96,2021,1071.8084716796875,0.6878489255905151,vgflash_ashrae_pl96_s2021
VGFlash,,ashrae,2362,96,2022,1113.282958984375,0.6963356137275696,vgflash_ashrae_pl96_s2022
VGFlash,,ashrae,2362,96,2023,1101.928955078125,0.6952280402183533,vgflash_ashrae_pl96_s2023
VGFlash,,ashrae,2362,96,2024,1107.183837890625,0.6946094036102295,vgflash_ashrae_pl96_s2024
VGFlash,,ashrae,2362,96,2025,1094.07177734375,0.7114412784576416,vgflash_ashrae_pl96_s2025
VGFlash,,ashrae,2362,192,2021,1900.757080078125,0.8441697955131531,vgflash_ashrae_pl192_s2021
VGFlash,,ashrae,2362,192,2022,1973.549072265625,0.8614405989646912,vgflash_ashrae_pl192_s2022
VGFlash,,ashrae,2362,192,2023,1888.7711181640625,0.8441808223724365,vgflash_ashrae_pl192_s2023
VGFlash,,ashrae,2362,192,2024,1954.9813232421875,0.849195659160614,vgflash_ashrae_pl192_s2024
VGFlash,,ashrae,2362,192,2025,1873.610107421875,0.8401979804039001,vgflash_ashrae_pl192_s2025
VGFlash,,ashrae,2362,336,2021,1880.5892333984375,0.8846240639686584,vgflash_ashrae_pl336_s2021
VGFlash,,ashrae,2362,336,2022,1877.338134765625,0.8794586062431335,vgflash_ashrae_pl336_s2022
VGFlash,,ashrae,2362,336,2023,1879.4732666015625,0.8824220895767212,vgflash_ashrae_pl336_s2023
VGFlash,,ashrae,2362,336,2024,1878.785888671875,0.8842635750770569,vgflash_ashrae_pl336_s2024
VGFlash,,ashrae,2362,336,2025,1879.1104736328125,0.8834500312805176,vgflash_ashrae_pl336_s2025
VGFlash,,ashrae,2362,720,2021,1346.6119384765625,0.9508625268936157,vgflash_ashrae_pl720_s2021
VGFlash,,ashrae,2362,720,2022,1343.3402099609375,0.939420223236084,vgflash_ashrae_pl720_s2022
VGFlash,,ashrae,2362,720,2023,1343.8416748046875,0.9398725032806396,vgflash_ashrae_pl720_s2023
VGFlash,,ashrae,2362,720,2024,1347.09326171875,0.9489657282829285,vgflash_ashrae_pl720_s2024
VGFlash,,ashrae,2362,720,2025,1350.688232421875,0.9614611268043518,vgflash_ashrae_pl720_s2025
VGFlash,,basf,244,96,2021,0.14825063943862915,0.09123384952545166,vgflash_basf_pl96_s2021
VGFlash,,basf,244,96,2022,0.14334414899349213,0.08958066999912262,vgflash_basf_pl96_s2022
VGFlash,,basf,244,96,2023,0.1475391983985901,0.09073872119188309,vgflash_basf_pl96_s2023
VGFlash,,basf,244,96,2024,0.1446896642446518,0.08913105726242065,vgflash_basf_pl96_s2024
VGFlash,,basf,244,96,2025,0.14922058582305908,0.0914408341050148,vgflash_basf_pl96_s2025
VGFlash,,basf,244,192,2021,0.1776217669248581,0.10131847858428955,vgflash_basf_pl192_s2021
VGFlash,,basf,244,192,2022,0.17749950289726257,0.10125435143709183,vgflash_basf_pl192_s2022
VGFlash,,basf,244,192,2023,0.17776304483413696,0.10131193697452545,vgflash_basf_pl192_s2023
VGFlash,,basf,244,192,2024,0.17776206135749817,0.10131646692752838,vgflash_basf_pl192_s2024
VGFlash,,basf,244,192,2025,0.17779172956943512,0.10132044553756714,vgflash_basf_pl192_s2025
VGFlash,,basf,244,336,2021,0.21304987370967865,0.11172021925449371,vgflash_basf_pl336_s2021
VGFlash,,basf,244,336,2022,0.21309760212898254,0.11174721270799637,vgflash_basf_pl336_s2022
VGFlash,,basf,244,336,2023,0.21299973130226135,0.11170616745948792,vgflash_basf_pl336_s2023
VGFlash,,basf,244,336,2024,0.21298469603061676,0.1117100939154625,vgflash_basf_pl336_s2024
VGFlash,,basf,244,336,2025,0.2129160612821579,0.11170675605535507,vgflash_basf_pl336_s2025
VGFlash,,basf,244,720,2021,0.2956254780292511,0.1317141205072403,vgflash_basf_pl720_s2021
VGFlash,,basf,244,720,2022,0.29531246423721313,0.13162600994110107,vgflash_basf_pl720_s2022
VGFlash,,basf,244,720,2023,0.29530325531959534,0.13167381286621094,vgflash_basf_pl720_s2023
VGFlash,,basf,244,720,2024,0.29556724429130554,0.1317003220319748,vgflash_basf_pl720_s2024
VGFlash,,basf,244,720,2025,0.2956039309501648,0.13171380758285522,vgflash_basf_pl720_s2025
VGFlash,,bdg2,2817,96,2021,10510538.0,13.405282974243164,vgflash_bdg2_pl96_s2021
VGFlash,,bdg2,2817,96,2022,10521065.0,13.478311538696289,vgflash_bdg2_pl96_s2022
VGFlash,,bdg2,2817,96,2023,10510250.0,13.346144676208496,vgflash_bdg2_pl96_s2023
VGFlash,,bdg2,2817,96,2024,10515744.0,13.470011711120605,vgflash_bdg2_pl96_s2024
VGFlash,,bdg2,2817,96,2025,10515890.0,13.418792724609375,vgflash_bdg2_pl96_s2025
VGFlash,,bdg2,2817,192,2021,5765664.0,13.77303409576416,vgflash_bdg2_pl192_s2021
VGFlash,,bdg2,2817,192,2022,5778651.0,13.833178520202637,vgflash_bdg2_pl192_s2022
VGFlash,,bdg2,2817,192,2023,5773438.0,13.832627296447754,vgflash_bdg2_pl192_s2023
VGFlash,,bdg2,2817,192,2024,5795053.5,14.00086498260498,vgflash_bdg2_pl192_s2024
